,Emotion,text_de,Text
4940,sadness,"Es kann der Brennpunkt untröstlichen Kummers sein; es inspiriert Poesie und Literatur, Symphonien und Lieder.","It can be the focus of inconsolable grief ; it inspires poetry and literature , symphonies and songs . "
4941,sadness,"Ich bekam nach Hause einen Brief, in dem mir mitgeteilt wurde, dass meine Schwester sehr krank sei.",I received a letter form home telling me that my sister was very sick.
4942,joy,"Als ich ins Institut aufgenommen wurde. Ich hatte mit vielen Leuten Probleme mit meiner Bewerbung an diesem Institut und beschloss zu beweisen, dass man auch ohne Besuch eines Vorbereitungskurses hervorragend bestehen kann. Das heißt - ich habe bewiesen, was ich alleine kann.",When I was admitted to the Institute. I had problems with many people about my applying for this institute and I decided to prove that one can pass excellently without visiting any preparatory couse. That is - I proved what I could do on my own.
4943,joy,Vielen Dank ., Thanks a lot . 
4944,sadness,"Tut mir leid, Sir, aber das Hühnchen ging uns aus. Darf ich Ihnen unsere köstlichen Beef Burritos oder Käse-Quesadillas empfehlen? Beide enthalten eine Beilage von Guacamole und Jalapenos."," I ' m sorry sir , but we ran out of chicken . May I suggest our delicious beef burritos or cheese quesadillas ? Both include a side of guacamole and jalapenos . "
4945,sadness,"Tennyson enthüllt , dass die Vertonung von Mariana in Shakespeares Maß für Maß ist , wo die niedergeschlagene Mariana allein in einem mit Wasser begrabenen Gutshof residiert .",Tennyson discloses that the setting of Mariana is in Shakespeare 's Measure for Measure where the dejected Mariana resides alone in a moated grange . 
4946,neutral,Was ist es ? Warum hast du einen Ziegel gekauft?, What is it ? Why did you buy a brick ? 
4947,sadness,"Als das Mädchen, nach dem ich gelüstet habe, wechselseitige Gefühle ausdrückte und dann Tage später ihre Meinung änderte.",When the girl whom I have lusted after expressed reciprocal feelings and then days later changed her mind.
4948,sadness,"Als mein Mädchen in den Urlaub ging, ohne sich von mir zu verabschieden.",When my girl went away for a holiday without saying good-bye to me.
4949,neutral,Was brauchst du ?,What do you need ? 
4950,anger,"»Er ist wütend auf Opal. ""","` He 's livid about Opal . "" "
4951,joy,Akzeptiert von der College-Football-Nationalmannschaft.,Accepted by the college football team.
4952,sadness,"Tut mir leid, aber unser Uni-Rechenzentrum verkauft nur Macintosh-Geräte."," I'm sorry , but our university computer center only sells Macintosh equipment . "
4953,joy,Der Gewinn der lokalen Fußballmeisterschaften in diesem Jahr war eine große Freude.,Winning the local soccer championships this year was a great joy.
4954,joy,"Können Sie mir sagen, wie ich mich verbessern kann?", Can you tell me how to improve myself ? 
4955,joy,Das ist Scheiße . Willst du ein Bier trinken gehen?, That sucks . You wanna go grab a beer ? 
4956,fear,"Der Vater eines Freundes war gestorben, ich sollte diesen Freund besuchen, obwohl ich seine Familie nicht kannte.","A friend's father had died, I was to come and see this friend although I did not know his family."
4957,fear,"Nicht so sehr barmherzig, eher eine Maßnahme, um zu verhindern, dass plötzlich erschrockene Passagiere versuchen, in die Menge zu fliehen.","Not so much a merciful touch , more likely a measure to prevent suddenly terror-stricken passengers from attempting to escape into the crowd . "
4958,sadness,Ich sah sie wieder mit ihrem Ex-Freund ausgehen., I saw her dating with her ex-boyfriend again . 
4959,neutral,Danke ., Thank you . 
4960,neutral,Er ist ein Hühnertyp., He's a chicken guy . 
4961,anger,"Wenn ein Lehrer eine Geschichte erzählt, die nicht wahr ist. Es spiegelt nur seine Art wider, die Realität zu interpretieren.",When a teacher tells a story which isn't true. It only reflects his way of interpreting reality.
4962,anger,In der Öffentlichkeit beleidigt werden.,Being insulted in public.
4963,sadness,Tod im engsten Familienkreis.,Death in the close family.
4964,joy,Als wir eine mehrjährige Frau für den Abend mitgenommen haben und Hamburger gegessen haben. Sie beschrieb den Abend als ihre glücklichste Nacht seit vielen Jahren.,When we took out an number year old woman for the evening and had hamburgers. She described the evening out as her happiest night out in number years.
4965,fear,Manchmal finde ich den Schatten des Todes vor mir., I sometimes find the shadow of death in front of me . 
4966,sadness,Es tut mir leid . Ich besorge dir einen neuen Spieler., I'm sorry . I'll get you a new player . 
4967,anger,"Meine Freundin mochte es nicht, wenn ich Majong (ein Glücksspiel) spielte. Ich drückte mein Bedauern aus und als ich sie besuchte, vernachlässigte sie meine Existenz. Ich war sehr wütend und verärgerte mich.",My girlfriend disliked it when I played majong (a game of gambling).  I expressed my regrets and when I went to see her she neglected my existance.  I was very angry and left in displeasure.
4968,joy,Natürlich ! Sowohl Kinder als auch Erwachsene erfreuen sich an ihren Büchern., Of course ! Both children and adults enjoy her books . 
4969,sadness,"Das Problem ist, dass viele arme Menschen leiden könnten.", The problem is that many poor people might suffer . 
4970,anger,"Aber es wird teuer, ein Auto in der Stadt zu haben, oder?"," But it will be expensive to have a car in the city , won't it ? "
4971,joy,Es ist das Symbol des Lachens über Raureif und des Kampfes mit Schnee. Ich bewundere den Mut der Pflaumenblüten., It is the symbol of laughing at hoar frost and fighting with snow . I admire the bravery of plum blossoms . 
4972,joy,"Nach einem Jahr Suche haben mein Freund und ich eine Wohnung gefunden, die wir bezahlen können.","After one year of searching, my friend and I have found a flat we are able to pay for."
4973,fear,"Vor zwei Sommern fuhren mein bester Freund und ich um Mitternacht in unbekannte Berge, um mein kaputtes Auto abzuholen. Wir erzählten uns furchtbar beängstigende Geister-/Mordgeschichten und schafften es, uns gegenseitig ziemlich zu erschrecken - obwohl wir irgendwo in unseren Köpfen wussten, dass die Befürchtungen unbegründet waren.",Two summers ago my best friend and I drove into unknown mountains at midnight to pick up my broken car. We told one another horrifically scary ghost/murder stories and succeeded in scaring eachother pretty well - even though somewhere in our heads we knew the fears were unjustified.
4974,anger,Seine Eltern waren wütend über das Verlobungsgeschäft.,His parents were furious over the engagement business . 
4975,neutral,Was geht ?, What's up ? 
4976,neutral,Wiedersehen ., Bye . 
4977,joy,"Wir warten in der Schlange, um einen der chinesischen Verse von Meister Li zu bekommen. Ich habe letztes Jahr einen bekommen und hatte das ganze Jahr viel Glück!", We're waiting in line to get one of Master Li's Chinese couplets . I got one last year and I had good luck all year ! 
4978,sadness,"Oh , er ist seine Nummer und in den letzten Monaten ist er ruhiger und ein bisschen geheimnisvoller geworden . Er schließt sich in seinem Zimmer ein und ich glaube, er rennt mit der falschen Menge rum."," Oh , he's number and in the past few months , he's become quieter and a bit secretive . He locks himself in his room and I think he's running around with the wrong crowd . "
4979,neutral,Noch nie ., Never . 
4980,fear,"Als Lebensmittel- und Ladensicherheitsbeauftragter war ich bestürzt und frustriert, als ich im Journal sah, dass Mitarbeiter unangemessenen Schmuck trugen und in Hochrisikogebieten alle Haare nicht in Hüten steckten.","As a food and store safety officer , I felt dismayed and frustrated to see in the Journal , members of staff wearing inappropriate jewellery and , in high risk areas , all hair not kept within hats . "
4981,sadness,"Jawohl . Ich hatte einen schlimmen Verkehrsunfall. Schau, mein Auto sieht aus wie eine zerquetschte Coladose."," Yes . I had a bad traffic accident.Look , my car looks like a squashed coke can . "
4982,sadness,Wenn das Studium hoffnungslos schwierig und uninteressant erscheint.,When one's studies seem hopelessly difficult and uninteresting.  
4983,joy,"An dem Tag, an dem mir mitgeteilt wurde, dass ich als Wirtschaftsstudent angenommen wurde.",The day I was told that I had been accepted as a student of economics.
4984,neutral,Wo ?, Where ? 
4985,anger,Als ich im Bachelor-Finale schlechte Noten bekam.,When I got low marks in B.Sc final.
4986,sadness,"Als ich letzten Sommer eine Prüfung nicht bestanden habe. Ich hatte sehr hart dafür gearbeitet und war sehr enttäuscht, weil ich dachte, dass es hoffnungslos war, am College weiterzumachen. Ich habe überreagiert.",When I failed an exam last Summer.  I had worked very hard for it and I was very disappointed thinking that it was hopeless to continue at college.  I did overreact.
4987,anger,"Wayne wird wütend, wenn er es hört.",Wayne will be livid when he hears . 
4988,fear,"Oh, wie schrecklich! Es tut mir so leid ."," Oh , how dreadful ! I ’ m ever so sorry . "
4989,sadness,"Bitte überfliegen. Das wäre sehr schön. Danke ... oh nein . Janna, es tut mir so leid, aber ich muss gehen."," Skim , please . That'd be very nice . Thanks ... oh no . Janna , I'm so sorry , but I've got to go . "
4990,sadness,"Ich konnte nicht in die Universität, in die ich eintreten wollte.",Could not get into the university I wanted to get in.
4991,fear,"Von Angst gepackt ist ein seltsam passender Ausdruck für Zeiten, in denen es sich anfühlt, als würde dich die Angst ergreifen. Es ist, als ob Sie von Angst gepackt würden.",Gripped by fear is an oddly apt phrase for times when it feels like fear is gripping you. It's like you're being gripped by fear. 
4992,fear,"Das Leben ist ein Spiel, die Chips fallen, wo sie können, aber meistens fallen sie nicht dorthin, wo du sie haben willst","Life is a game, the chips fall where they may but most times they don't fall where you want them "
4993,sadness,"Es tut mir leid , aber wir sind am Freitag ausgebucht ."," I'm sorry , but we're booked up on Friday . "
4994,sadness,"Als eine sehr enge Freundin von mir wegen einer größeren Operation ins Krankenhaus musste und ich sie eine Weile nicht sehen konnte, da ich keine Verwandte war, hatte sie keine Verwandten in N.Z.",When a very close friend of mine went into hospital for a major operation and I couldn't see her for a while as I was not a relative she had no relatives in N.Z.
4995,sadness,"Ich hatte wirklich gehofft, dass ich die Prüfung bestehen würde, aber ich scheiterte und war sehr traurig.","I was really hoping that I would pass the examination, but I failed and so I felt very sad."
4996,sadness,Ich habe mein Handy damals nicht mitgenommen., I didn't take my cellphone with me at that time . 
4997,anger,"Vor der Zertifikatsprüfung war ich in Biologie sehr schlecht (das schlechteste Ergebnis in meiner Klasse). Seit F.number wurde es immer ärmer. Ich hatte mein Bestes gegeben und die meiste Zeit damit verbracht, dieses Thema zu studieren. Schließlich waren meine Ergebnisse so schlecht, dass ich dachte, es sei einfach nicht fair.",Before the certificate examination I was very poor in Biology (the worst result in my class).  Ever since F.number it had been getting poorer and poorer.  I had tried my best and had spent most of my time studying this subject.  Finally my results were so bad that I thought that it was just not fair.
4998,fear,"Die Stadträte von Richmond sind besorgt über Pläne, das alte Kino an der Kreuzung Riders Wind/Queens Road in einen Baumarkt umzuwandeln.",Richmond councillors are worried about plans to turn the old cinema on the Riders Wind/Queens Road junction into a DIY shop . 
4999,sadness,"Ich habe meine Prüfungen seit der Standardnummer nie durchgefallen, aber ich erlebte traurige Momente, als ich an der Standardnummerprüfung teilnahm und ich nicht für die Sekundarschulbildung ausgewählt wurde.",I never failed my examinations since Standard number but I experienced sad moments when I sat for Standard number Examination and I was not selected for Secondary School education in number.
5000,anger,"Somerset ist wütend über Vorschläge, dass ""The Ghost"", der Nummer für Nummer nahm, weggelassen werden sollte.","Somerset are furious over suggestions that ` The Ghost "" , who took number for number , should be left out . "
5001,fear,"Wir waren nachts im Park spazieren. Es war sehr dunkel und sehr spät. Wir hörten überall um uns herum Schritte, und wir fanden keinen Ausweg.","We were walking in the park at night.  It was very dark and very late.  We began to hear foot steps all around us, and we could not find our way out."
5002,sadness,Mein Onkel ist letzte Nacht gestorben.,My uncle passed away last night . 
5003,fear,"Als ich meine Nummer einjährige Tochter nicht finden konnte. Ich rannte und suchte sie überall und konnte sie nicht finden. (Ich habe sie endlich gefunden, sie war zum Schlafen ins Bett gegangen)","When I could not find my number year old daughter.  I ran and looked for her everywhere and could not find her.  (I finally found her, she had gone to bed to sleep)"
5004,anger,"Als mein Vater mir von etwas erzählte, das er meiner Mutter angetan hatte.",When my dad told me about something he had done against my mother.
5005,neutral,"Es ist jetzt anders. Die Welt wird bunt. Einige meiner Freunde verspüren nicht den gleichen Druck, zu heiraten. Wir alle wollen auf den richtigen Moment warten.", It is different now . The world is becoming colorful . Some of my friends don't feel the same pressure to marry . We all want to wait for the right moment . 
5006,anger,"Er spürte, wie sich ihre verärgerten Augen in seinen Nacken brannten.",He felt their resentful eyes burning the nape of his neck . 
5007,sadness,Nicht bestandene Prüfung.,Failing exam.
5008,anger,"Ich weiß nicht, was ich mit den Leuten machen soll, die in der Wohnung über mir wohnen!",I don't know what to do about the people who live in the flat above me ! 
5009,neutral,Welche Sportarten treibst du gerne?,What sports do you like to play ? 
5010,joy,"Am Wochenende kamen meine Eltern und mein Bruder. Wir sind eine sehr enge Familie. Dies war mein erstes Jahr weg von zu Hause. Sie brachten eine Jacko-Laterne mit einem neuen Design. Das ist der alte Witz, dass wir ein tolles neues Design haben - es ist immer gleich.",My parents and brother came up over the weekend. We are a very close family. This was my first year away from home. They brought one jacko-lantern with a new design. That is the old joke that we have a great new design - it's always the same.
5011,sadness,Es tut mir leid . Das muss wirklich ein Albtraum für Sie und Ihre Familie gewesen sein., I'm sorry . That must have really been a nightmarish day for you and your family . 
5012,fear,"Ich habe diesbezüglich keine Stellungnahmen erhalten, und mir sind keine Unruhen unter den Gruppen bekannt, die der hon. Herr beschrieben.",I have received no representations on that matter and I am not aware of any disquiet among the groups that the hon. Gentleman described . 
5013,fear,"Er schien aufgeregt, rastlos auf und ab, blickte in die Menge und zog sich dann wieder in den Schutz der Arkade zurück.","He seemed agitated , restlessly pacing about , looking out into the crowds , then drawing back into the shelter of the arcade . "
5014,neutral,Eine Halskette ?, A necklace ? 
5015,fear,"Als ich eine Position einnehmen musste, die ich nicht erwartet hatte.",When I had to assume a position which I didn't expect.
5016,neutral,Ich möchte Sie dieses Wochenende besuchen. Ich möchte nur für ein Gespräch vorbeischauen., I'd like to call on you this weekend . I just want to a drop in for a chat . 
5017,neutral,Du auch ., You too . 
5018,anger,Robbies Verzweiflung machte sich Luft.,Robbie 's exasperation found vent . 
5019,sadness,"Oh, Entschuldigung ."," Oh , sorry . "
5020,anger,Mama ! Das ist so ungerecht!, Mom ! That is so unfair ! 
5021,joy,"Bei einem Gespräch mit einer Kollegin von mir wurde mir klar, dass ihr Menschen- und Arbeitsverständnis meiner ähnlich war.","While having a discussion with a colleague of mine, I realized that her conception of man and work were similar to mine."
5022,joy,"Hallo ! Ich bin Nancy. Schön, dich kennenzulernen .", Hi ! I'm Nancy . Nice to meet you . 
5023,neutral,OK ., OK . 
5024,fear,"Ich träumte davon, dass mein Verlobter mich verlässt und unsere Beziehung beendet.",I had a dream about my fiancTe leaving me and making an end to our relation.
5025,anger,"Du übergibst das Geld. Ich werde gehängt, wenn ich dich bitte, mit uns in den Park zu gehen.", You are passing the buck . I'll be hanged if I ask you to go to the park with us . 
5026,anger,"Von der Königinwitwe über ihre Entscheidung informiert, verärgert über die Verweigerung der Heimkehr, machte Anne ihren Unmut deutlich.","Informed by the queen dowager of their decision , resentful at being refused permission to return home , Anne made her displeasure plain . "
5027,neutral,An welchen Tagen finden diese Kurse statt?, Which days are these classes on ? 
5028,fear,"Klappen werden für die vielen Piloten ausführlich beschrieben, die nicht ganz verstehen, wie sie sie optimal einsetzen können und die vielleicht nervös sind, wenn sie ihre ersten Flüge in einer Klappenmaschine machen.","Flaps are described in detail for the many pilots who do not fully understand how to make the best use of them , and who may be nervous about their first flights in a flapped machine . "
5029,sadness,"Ich hatte den ganzen Morgen hintereinander Meetings. Und das Telefon klingelte von dem Moment an, als ich das Büro betrat.", I had meetings back to back all morning . And phone rang off the hook from the minute I walked into the office . 
5030,anger,"Du sagtest, du gehst nur zum Schaufensterbummel!", You said you were only going to window shop ! 
5031,fear,"Als ich alleine reisen musste, zum ersten Mal ohne Begleitung. Es war eine Nachtfahrt mit dem Zug zu einem weit entfernten Ort.","When I had to travel alone, unescorted for the first time.     It was an over-night journey by train to a distant place."
5032,fear,"Es ist, als würde die Zeit zu mir laufen, schneller zu mir, am schnellsten. Oh, wie ich mich selbst dazu bringe, nicht gut zu schlagen ♬ ♬","Its like time runs to me, runs to me faster, fastest. Oh how I make my self beating no well  ♬   ♬  "
5033,neutral,"Oh ja, den kenne ich. Wie war das Essen ?"," Oh , yes , I know the one . How was the food ? "
5034,neutral,Diese Katze ., That cat . 
5035,sadness,Bei dieser Gelegenheit nahm City die sich ihnen bietenden Chancen lustvoll an und fügte ihren niedergeschlagenen Gegnern schwere psychische Schäden zu.,On this occasion City accepted with relish the chances which came their way and inflicted serious psychological damage on their dejected opponents . 
5036,fear,In den Medien und anderswo herrschte große Unruhe.,There was widespread disquiet in the media and elsewhere . 
5037,neutral,Wieso den ?, Why ? 
5038,sadness,"Sie wiederum hatte sich zu der Zeit zu ihm hingezogen gefühlt, als sie sich wegen Jean-Pierre unglücklich fühlte.",She in turn had been drawn to him at the time when she was miserable about Jean-Pierre . 
5039,joy,"Es ist ziemlich einfach gelungen, die Anzahl Km auf Skiern zu laufen.",Managed to run number Km on skis fairly simply.
5040,anger,"Als mein Vater mir wegen eines Missverständnisses zwischen den beiden verboten hat, zu seiner Schwester zu gehen.",When my father banned me from going to his sister's home due to some misunderstanding between the two.
5041,fear,"Während der Karwoche sah ich einer Prozession zu, und ein Büßer kam auf mich zu.","I was watching a procession during the Holy week, and a penitent approached me."
5042,sadness,"Brian Davies , ebenfalls aus der Nähe von Coventry , hatte einige riesige Kürbisse und Mark betreten , schien aber traurig zu sein .","Brian Davies , also from near Coventry , had entered some immense pumpkins and marrows , but seemed mournful . "
5043,neutral,Warum nicht ?, Why not ? 
5044,neutral,Okay . Wiedersehen ., Ok . Bye . 
5045,fear,Vor ein paar Tagen hatte ich wirklich Angst. Es war mit unerwarteten Handlungen einer Gruppe von Menschen verbunden. Dies rief in mir viele negative Emotionen hervor.,Few days ago I really experienced fear. It was connected with unexpected actions on the part of a group of people. This evoked in me many negative emotions.
5046,anger,Der Nachname meines Bruders war anders als unserer. Er grinste oft zu Hause und provozierte andere zum Vergnügen. Das hat mich wütend gemacht.,The surname of my brother was different from ours.  He often grinned at home and provoked others for the pleasure of it.  This made me angry.
5047,fear,"Einmal, als ich zehn war, konnte ich mich nicht erinnern, warum meine Mutter so wütend war. Sie wurde plötzlich ohnmächtig und ich hatte große Angst, da ich nicht wusste, was ich tun sollte.","Once, when I was ten, I could not remember why my mother was so angry.  She fainted suddenly and I was very scared as I did not know what to do ."
5048,anger,"Ich bekam eine Prüfung, von der ich dachte, dass sie weder meine Fähigkeiten noch mein Wissen auf dem Gebiet misst.",I was given an exam which I thought did not measure at all my ability or my knowledge of the subject.
5049,neutral,Aha ., I see . 
5050,fear,"Bevor ich von zu Hause wegzog, hatte ich Angst zu gehen.","Before I moved away from home, I feared leaving."
5051,neutral,Ich glaube schon ., I think so . 
5052,fear,"Als ich in ein Haus gehen wollte, stand plötzlich ein großer Hund neben mir. Es bewegte sich kaum, aber ich wusste nicht, wie es später reagieren würde.","When I wanted to go into a house, there was suddenly a big dog standing beside me. It was hardly moving, but I did not know how it would react later on."
5053,sadness,Ich muss etwas finden. Sonst muss ich zurück nach Taiwan. In zwei Monaten bin ich pleite., I have to find something.Otherwise I have to go back to Taiwan . I'll be broke in two months . 
5054,anger,"Ich war wütend über das Verhalten der Regierung in Hainburg, besonders als ich eine Diskussion darüber im Fernsehen sah.","I was angry about how the government acted concerning Hainburg, especially when I saw a discussion about it on TV."
5055,fear,"Ich war allein auf dem Inter Rail in Neapel. Nach einem Abend in einem Restaurant ging ich gerade ins Hotel zurück, als eine Prostituierte auf mich zukam, um sich zu verkaufen. Ich weigerte mich, aber als ich weiterging, hatte ich das Gefühl, von jemandem verfolgt zu werden.",I was on the Inter Rail in Naples alone. After an evening in a restaurant I was going back to the hotel when a prostitute approached me to sell herself. I refused but as I carried on walking I felt that I was being followed by someone.
5056,fear,"Ich schätze, ich bin abenteuerlustig, aber dann habe ich auch Angst."," I guess I'm adventuresome , but then I'm scared too . "
5057,anger,"Wir mussten in eine ganz andere Stadt ziehen, weil auch die Firma, in der mein Vater arbeitete, dorthin gezogen ist. Es war sehr schwierig für mich, neue Freunde zu finden.",We had to move to a very different city because the company where my father worked also moved to that place. It was very difficult for me to make new friends than.
5058,sadness,Es tut mir wirklich leid . Ich werde mich der Musik stellen., I'm really sorry . I'll face the music . 
5059,joy,"Er kicherte, erfreut darüber, sie erstaunt zu haben.","He chuckled , delighted at having amazed her . "
5060,sadness,"Ich glaube nicht, dass ich mit deinem Herzschmerz fertig werden könnte. ""","I don't think I could cope with your heartbreak . "" "
5061,fear,"Eines Abends sagte mir mein Vater, ich solle in den Keller gehen und ihm ein Bier holen. Ich hatte schreckliche Angst bei der Vorstellung, dass ein Mann im Keller sitzt und mich angreift. Zu meiner Verteidigung habe ich eine leere Flasche mitgenommen.",One evening my father told me to go into the cellar and get him a beer. I was terribly frightened at the idea of a man sitting in the cellar and assaulting me. For my defence I took an empty bottle with me.
5062,fear,"Während er betrunken war, versuchte mein Lebenspartner, mich zu schlagen. Ich hatte Angst und floh ins Badezimmer.","While he was drunk, my life partner tried to hit me.  I felt scared and fled to the bathroom."
5063,fear,"Als das Auto, das ich fuhr, auf einer vereisten Straße ins Schleudern kam und mit einer Seite gegen einen Felsen in einem Graben landete.",When the car I was driving skidded on an icy road and landed in   a ditch with one side against a rock.
5064,fear,"Eines Nachts war ich allein zu Hause. Meine Angst wurde durch seltsame Geräusche verursacht, die meine Fantasie anregten.","One night, I was alone at home.  My fear was caused by some strange noises which put my imagination to work."
5065,sadness,"Als ich erfuhr, dass ein Junge, den ich mochte, drei Jahre mit einem Mädchen zusammen war.",When I learnt that a boy I liked had been with a girl for three years.
5066,anger,Jemand hat mir einen Streich gespielt.,Someone played a trick on me.
5067,anger,Sie sind auch ziemlich verärgert über die aus ihrer Sicht versäumte Vertretung ihrer Interessen in Brüssel durch das Landwirtschaftsministerium.,They 're also pretty peeved at what they see as the Ministry of Agriculture 's failure to represent their interests adequately in Brussels . 
5068,neutral,Wieso den ?, Why ? 
5069,neutral,Oh ja .," Oh , yes . "
5070,fear,"Wenn ein großer wütender Hund seine Schnauze auf meinen Arm legte und ich eine Bewegung gemacht hätte, hätte er mich gebissen.",When a big angry dog put its snout on my arm and had I made one movement it would have bitten me.
5071,fear,Dieser Sound-Typ ist so verdammt gefeuert.,This sound guy is so fucking fired.  
5072,neutral,Du ?, You ? 
5073,neutral,Warum nicht ?, Why not ? 
5074,sadness,"Um der Verzweiflung entgegenzuwirken, die grüne Welt für sich zurückzugewinnen, nicht nur als Balsam für meine Verzweiflung, arrangierte ich mit Barrys Hilfe ein Interview mit David Ricalde.","In an attempt to counteract despondency , to reclaim the green world for itself , not solely as a balm for my despair , I arranged with Barry 's help an interview with David Ricalde . "
5075,sadness,Wenn er arbeitslos ist.,When out of work.
5076,sadness,"Fräulein , es tut mir sehr leid für die Verzögerung , bitte genießen Sie das . Gratis ein Glas Wein für Unannehmlichkeiten. Es tut mir wieder schrecklich leid, dass Sie so lange warten müssen."," Miss , I'm very sorry for the delay , please enjoy this . Free a glass of wine for inconvenience . Again I'm terribly sorry to make you wait so long . "
5077,joy,"Ein Treffen und ein Gespräch mit einer Frau (etwas älter als ich), die mich als ihr Kind betrachtet (sie hat auch ein eigenes Kind). Die letzten zwei Jahre habe ich bei ihr gelebt (keine Beziehung).",A meeting and a conversation with a woman (somewhat elder than me) who considers me as her child (she also has one child of her own). Last two years I lived with her (no relationship).
5078,anger,"Komm schon , Lisa . Seien Sie aufgeschlossen! Schau dir meine Augen an, sie sind geschwollen. Und meine Tränensäcke sind dunkel und locker und voller Linien und Kreise. Ich hoffe wirklich, dass eine Operation die müden Gefühle auslöschen kann."," Come on , Liz . Be open-minded ! Look at my eyes , they are puffy . And my eye bags , they are dark and loose and full of lines and circles . I really hope surgery can wipe out the tired feelings . "
5079,anger,Als ein enger Freund nicht schrieb.,When a close friend did not write.
5080,anger,Aber haben Nummer-Stunden-Reise., But have number - hour journey . 
5081,neutral,"Ja, wir leben nicht im Vakuum. Wir haben traditionelle Werte und eine lange, aber unterschiedliche Geschichte."," Yeah , we don ’ t live in the vacuum . We have traditional values and long but different history . "
5082,joy,"Letzten Kurs, als ich drei Fächer mit guten Noten bestanden habe, die ich vorher nicht bestanden hatte.","Last course, when I passed with good marks three subjects which I had previously failed."
5083,sadness,"Ich kann es nicht glauben. Ich schätze, ich werde heute Abend bis zur Nummer wieder hier sein.", I can ’ t believe it . I guess I ’ ll be here until number again tonight . 
5084,neutral,Wie wäre es mit ?, What about ? 
5085,anger,Hatte einen beleidigenden Brief von meinem Vater.,Had an insulting letter from my father.
5086,joy,"Klar, meine Schwägerin und ihr Mann haben sich gerade so ein Haus gekauft. Sie sind damit ziemlich zufrieden."," Sure , my sister-in-law and her husband just bought a house that way . They ’ re pretty satisfied with it . "
5087,fear,"Ich hatte Angst, als ich nicht auf die Abschlussprüfungen des letzten Jahres vorbereitet war.",I experienced fear when I was not prepared for the final year degree exams.
5088,fear,"nicht wenn angst nicht warum fürchte nicht viel, solange wir leben",not when fear not why fear not much while we're alive.. Fear not die I'll be alive for a million year #ByeBye #lyrics #quotes
5089,joy,"Ich bin mir sicher, und ich habe mich an Ihre Telefonnummer erinnert. Ich rufe dich an .", I'm sure and I remembered your phone number . I'll call you . 
5090,joy,"Hallo Andy . Ich bin Judy. Es ist schön, Sie kennenzulernen."," Hi , Andy . I'm Judy . It's nice meeting you . "
5091,joy,"Als ich vor kurzem meinen ersten Beratungsauftrag \selbst\"" also aus eigener Initiative"" bekommen habe.","When I recently managed to get my first consulting assignment \myself\"" i.e on my own initiative."""
5092,fear,"Matt Moore wusste, was mit ihm passieren würde, wenn er versuchte, den Ball von D-Ware zu bekommen",Matt Moore knew what was gonna happen to him if he tried to get that ball from D-Ware 
5093,sadness,"Ich weiß, es tut mir leid, dass ich es jemals gekauft habe."," I know , I am sorry I ever bought it . "
5094,sadness,Als meine Schwester bei einem Brandunfall zu Hause starb.,When my sister died in a fire accident at home.
5095,joy,"Ich bin einfach so aufgeregt, weil er sagt, dass ich die Verantwortung übernehmen kann.","I 'm just so excited , because he says I can be in charge of it . "
5096,joy,"Als ich wieder einen tollen Freund traf und mich ein wenig mit ihm unterhielt. Wenn ich wieder einen anderen sehe, vermisse ich.",When I met again a great friend and talked a little while with him. When I see again another I miss.
5097,fear,"Nachdem ich mein erstes Jahr an der Universität durchgefallen war, hatte ich Angst, was ich mit meiner Zukunft anfangen sollte. Ich wollte keinen banalen Nummern-Job und wusste doch nicht, ob ich mir ein Jahr ohne Subventionierung an der Universität leisten konnte, um mich niederzulassen und mein Studium fortzusetzen.",After I had managed to fail my first year at University I was scared as to what I was going to do with my future. I didn't want a mundane number-number job and yet I didn't know if I could pay my way through an unsubsidized year at university to settle down and continue my studies.
5098,sadness,"Sie wäre untröstlich, wenn ihr Vater nicht bei ihrer Hochzeit wäre.",She 'd be heartbroken if her father wasn't at her wedding . 
5099,neutral,Sie werden Kurse belegen?, You are going to take courses ? 
5100,anger,"Meine kleine Nichte, die sehr gesprächig ist, wurde plötzlich sehr unartig und fing an, sich in die Hose zu machen. Sie hat es eines Nachmittags geschafft.","My little niece, who is very talkative, suddenly became very naughty and began wetting her pants.  She did it one afternoon."
5101,joy,egal . Lass uns zu den Wasserfällen gehen und es noch einmal versuchen., never mind . Let's go to the falls and try again . 
5102,neutral,Wieso den ?, Why ? 
5103,fear,"Meine Krankheit vor ein paar Jahren. Ich litt schwer an Malaria und Asthma, ich hatte meine Gesundheit, meinen Charme und meine Fröhlichkeit völlig verloren.","My illness a few years back.  I was severely down with malaria and asthma, I had lost my health, charm and cheerfulness completely."
5104,neutral,Jawohl ., Yes . 
5105,sadness,Entschuldigen Sie . Wir haben nur noch Tische im Hauptspeisesaal.," Sorry , sir . We have only tables in the main dinning room left . "
5106,anger,"Heute Abend beschrieb eines von Hadleys Opfern ihre Wut auf ihn und ihre Erleichterung, dass er für schuldig befunden worden war.","Tonight , one of Hadley 's victims described her anger towards him , and her relief he 'd been found guilty . "
5107,neutral,sicher . Meine Mutter arbeitet seit Jahren an unserem Stammbaum. Sie aktualisiert es ständig., sure . My mom has been working on our family tree for years . She ’ s always updating it . 
5108,neutral,Auf keinen Fall !, No way ! 
5109,sadness,Meine Schwiegermutter ist gerade in L.A. Hank ins Krankenhaus gegangen und ich werde heute Abend dorthin fliegen., My mother-in-law just went into the hospital in L.A.Hank and I will be flying there tonight . 
